,Hor_eye,gx
0,0.5686573686340957,-2417.0
1,1.003393791260327,-2359.0
2,1.4661556746369124,-2251.0
3,2.0061605046859547,-2102.0
4,2.992501569459969,-1925.0
5,3.7976098272070407,-1730.0
6,4.541950727895651,-1524.0
7,4.908320497048851,-1314.0
8,5.0184632134807154,-1100.0
9,4.933240062840003,-887.0
10,4.772091515366677,-678.0
11,4.621006040381777,-475.0
12,4.484197826187888,-282.0
13,4.29385789762205,-101.0
14,4.163040062580566,64.0
15,4.045797469708733,215.0
16,3.962355496520306,353.0
17,3.866950741860442,479.0
18,3.7573048895841503,596.0
19,3.677815348526555,706.0
20,3.596515135086199,812.0
21,3.519436809256089,916.0
22,3.4216947658473766,1018.0
23,3.3600494180988627,1121.0
24,3.2905508454791206,1224.0
25,3.22814271236665,1325.0
26,3.179322714007535,1425.0
27,3.1238759705872385,1523.0
28,3.0886534066858156,1618.0
29,3.057598931100217,1712.0
30,3.021541271773443,1802.0
31,2.982468192271705,1889.0
32,2.9463543550382334,1969.0
33,2.88850689537121,2039.0
34,2.7617621675294606,2098.0
35,2.650953203616472,2143.0
36,2.470761439148086,2174.0
37,2.2247565676849415,2190.0
38,1.9890781763300012,2194.0
39,1.68009562635404,2185.0
40,1.4139965510812074,2166.0
41,1.2211358318602623,2137.0
42,1.0055110820184836,2098.0
43,0.9509369197280721,2050.0
44,0.9026258389361295,1992.0
45,0.8544827429755997,1925.0
46,0.8373796482130709,1851.0
47,0.8174354422168335,1772.0
48,0.7884539398560217,1689.0
49,0.763072591473155,1605.0
50,0.7252567599736397,1519.0
51,0.6868621289220816,1432.0
52,0.6472528490936398,1342.0
53,0.6126912244971854,1250.0
54,0.5679967214200172,1154.0
55,0.5257564737592624,1054.0
56,0.49207696328203854,950.0
57,0.4558574327028422,845.0
58,0.39698439211926095,741.0
59,0.36815311815641283,642.0
60,0.323886827037822,552.0
61,0.2600765247849008,474.0
62,0.21764437577538787,411.0
63,0.15234991523656322,362.0
64,0.11735929553234481,327.0
65,0.07843685798715803,306.0
66,0.04956082823045892,295.0
67,-0.0004950627148957608,295.0
68,-0.024638481794452494,303.0
