,Hor_eye,Ver_eye,Time
0,-5.6840794857825,-12.3905059388889,74814.0
1,-5.72274699938636,-12.380392355672,74814.005777
2,-5.65075784801321,-12.565251061797,74814.0231084
3,-5.53484724096364,-12.7001435275383,74814.0288909
4,-5.47534945283681,-12.8220819106945,74814.0346678
5,-5.41362538679651,-12.8755297618767,74814.0404447
6,-5.3972955164033,-12.9428884180088,74814.0462223
7,-5.39557014417601,-12.8899808141169,74814.0520041
8,-5.42297292138888,-12.9357270775065,74814.0577811
9,-5.40812724537059,-13.0349856837802,74814.0635586
10,-5.37055975056489,-13.0159835155542,74814.0693356
11,-5.43909969167046,-13.0193286175148,74814.0751125
12,-5.32632236437104,-13.0607276216014,74814.0808943
13,-5.38928656824989,-13.060827960589,74814.0866713
14,-5.41751870501251,-13.0693757639854,74814.0924482
15,-5.36709190236552,-13.1330106822252,74814.0982258
16,-5.42737479944162,-13.2448908550128,74814.1040076
17,-5.46588266745952,-13.2488415797447,74814.1097846
18,-5.45624185870922,-13.2527201834368,74814.1155621
19,-5.45157395957779,-13.3044032201235,74814.1213391
20,-5.3260734907113,-13.4619527622885,74814.1271209
21,-5.36861519938728,-13.4627944937363,74814.1328985
22,-5.31274707038761,-13.3079405868435,74814.1386754
23,-5.33744310635187,-13.6508356231946,74814.1444523
24,-4.80948151858458,-13.5882298289189,74814.1502299
25,-3.52353650163498,-13.8564394233274,74814.1560117
26,-1.53098533823191,-13.9353146174883,74814.1617887
27,0.484602168057254,-13.7309022281101,74814.1675662
28,1.72148536983621,-13.7662599371564,74814.1733425
29,2.46991720649052,-13.5009550113331,74814.1791244
30,2.55682414575229,-13.5581333956122,74814.1849019
31,2.48880378995945,-13.5744945907087,74814.1906789
32,2.52160727393201,-13.6139175665271,74814.1964558
33,2.5550722270716,-13.430989813915,74814.2022334
34,2.52928823997197,-13.4505237394826,74814.2080152
35,2.56192228295097,-13.3670320420776,74814.2137921
36,2.50096053709009,-13.2611114942466,74814.2195697
37,2.46482806002008,-13.3724038560202,74814.2253466
38,2.31671110644553,-13.2464284573374,74814.2311285
39,2.41857071583267,-13.2194151135903,74814.236906
40,2.48026285541714,-13.397277122955,74814.242683
41,2.43126802542825,-13.4563653769727,74814.2484599
42,2.44859799011273,-13.3492911616945,74814.2542375
43,2.43897020179098,-13.3025607928261,74814.2600193
44,2.46407096340033,-13.4779995467027,74814.2657956
45,2.4711960087754,-13.4513183215213,74814.2715732
46,2.41672056717457,-13.5098764488563,74814.2773501
47,2.42078707192254,-13.6249615788248,74814.2831326
48,2.45178194179947,-13.5461876323608,74814.2889095
