,Time,Hor_eye,Ver_eye
0,74585.0,74585.0057769,74585.0115539
1,74585.0288908,74585.0346678,74585.0577804
2,74585.0693398,74585.0751168,74585.0808943
3,74585.0866713,74585.0924482,74585.0982306
4,74585.1040076,74585.1097845,74585.1155621
5,74585.1213439,74585.1271209,74585.1328984
6,74585.1386747,74585.1444517,74585.1502341
7,74585.1560111,74585.161788,74585.1675656
8,74585.1733474,74585.1791243,74585.1849019
9,74585.1906788,74585.1964607,74585.2022382
10,74585.2080152,74585.2137921,74585.2195697
11,74585.2253515,74585.2311278,74585.2369054
12,74585.2426823,74585.2484641,74585.2542417
13,74585.2600187,74585.2657956,74585.2715732
14,74585.277355,74585.2831319,74585.2889095
15,74585.2946864,74585.3004683,74585.3062458
16,74585.3120228,74585.3178003,74585.3235766
17,74585.3293585,74585.3351354,74585.340913
18,74585.3466899,74585.3524724,74585.3582493
19,74585.3640262,74585.3698038,74585.3755856
20,74585.3813626,74585.3871401,74585.3929171
21,74585.398694,74585.4044765,74585.4102534
22,74585.4160297,74585.4218073,74585.4275891
23,74585.433366,74585.4391436,74585.4449206
24,74585.4506975,74585.4564799,74585.4622569
25,74585.4680338,74585.4738114,74585.4795932
26,74585.4853702,74585.4911477,74585.4969247
27,74585.5027016,74585.5084834,74585.5142604
28,74585.5200373,74585.5258149,74585.5315967
29,74585.5373736,74585.5431512,74585.5489281
30,74585.55471,74585.5604875,74585.5662645
31,74585.572042,74585.577819,74585.5836008
32,74585.5893784,74585.5951553,74585.6009316
33,74585.6067141,74585.612491,74585.6182679
34,74585.6240455,74585.6298225,74585.6356043
35,74585.6413818,74585.6471588,74585.6529357
36,74585.6587182,74585.6644951,74585.6702721
37,74585.6760496,74585.6818266,74585.6876084
38,74585.6991623,74585.7049392,74585.7107217
39,74585.7164986,74585.7222755,74585.7280531
40,74585.7338349,74585.7396119,74585.7453894
41,74585.7511664,74585.7569433,74585.7627258
42,74585.7685027,74585.7742796,74585.7800572
43,74585.7858384,74585.7916153,74585.7973929
44,74585.8031698,74585.8089468,74585.8147292
45,74585.8205062,74585.8262831,74585.8320607
46,74585.8378425,74585.8436195,74585.849397
47,74585.855174,74585.8609515,74585.8667333
48,74585.8725103,74585.8782866,74585.8840642
49,74585.889846,74585.8956236,74585.9014005
50,74585.9071774,74585.9129599,74585.9187368
51,74585.9245138,74585.9302913,74585.9360683
52,74585.9418501,74585.9476277,74585.9534046
53,74585.9591815,74585.964964,74585.9707403
54,74585.9765172,74585.9822948,74585.9880717
55,74585.9938536,74585.9996311,74586.0054081
56,74586.011185,74586.0169675,74586.0227444
