,Time,Hor_eye,Ver_eye
0,75310.0,75310.0057818,75310.0115587
1,75310.0173363,75310.0231126,75310.0462259
2,75310.0520034,75310.0577853,75310.0635622
3,75310.0693398,75310.0751167,75310.0808936
4,75310.0866761,75310.092453,75310.09823
5,75310.1040069,75310.1097894,75310.1155657
6,75310.1213432,75310.1271202,75310.1328971
7,75310.1386796,75310.1444565,75310.1502335
8,75310.156011,75310.1617928,75310.1675698
9,75310.1733467,75310.1791243,75310.1849061
10,75310.1906831,75310.1964606,75310.2022376
11,75310.2080139,75310.2137963,75310.2195733
12,75310.2253508,75310.2311278,75310.2369096
13,75310.2426865,75310.2484641,75310.254241
14,75310.260018,75310.2658004,75310.2715774
15,75310.2773543,75310.2831319,75310.2889137
16,75310.2946906,75310.3004676,75310.3062445
17,75310.3120215,75310.3178039,75310.3235809
18,75310.3293578,75310.3351354,75310.3409172
19,75310.3466941,75310.3524717,75310.3582486
20,75310.3640256,75310.369808,75310.375585
21,75310.3813619,75310.3871395,75310.3929207
22,75310.3986976,75310.4044752,75310.4102521
23,75310.4160339,75310.4218115,75310.4275884
24,75310.4333654,75310.4391429,75310.4449248
25,75310.4507017,75310.4564793,75310.4622562
26,75310.468038,75310.4738156,75310.4795925
27,75310.4853689,75310.4911458,75310.4969282
28,75310.5027052,75310.5084821,75310.5142597
29,75310.5200415,75310.5258191,75310.531596
30,75310.537373,75310.5431499,75310.5489324
31,75310.5547093,75310.5604869,75310.5662638
32,75310.5720456,75310.5778219,75310.5835995
33,75310.5893764,75310.5951583,75310.6009358
34,75310.6067128,75310.6124897,75310.6182673
35,75310.6240491,75310.629826,75310.6356036
36,75310.6413805,75310.6471624,75310.6529399
37,75310.6587169,75310.6644938,75310.6702708
38,75310.6760526,75310.6818295,75310.6876071
39,75310.693384,75310.6991659,75310.7049434
40,75310.7107204,75310.7164973,75310.7222749
41,75310.7280567,75310.7338336,75310.7396112
42,75310.7453881,75310.75117,75310.7569475
43,75310.7627238,75310.7685008,75310.7742832
44,75310.7800602,75310.7858371,75310.7916147
45,75310.7973916,75310.8031734,75310.8089504
46,75310.8147279,75310.8205049,75310.8262867
47,75310.8320643,75310.8378412,75310.8436182
48,75310.8493957,75310.8551769,75310.8609539
49,75310.8667314,75310.8725084,75310.8782902
50,75310.8840678,75310.8898447,75310.8956216
51,75310.9013992,75310.907181,75310.912958
52,75310.9187355,75310.9245125,75310.9302943
53,75310.9360719,75310.9418488,75310.9476251
54,75310.9534076,75310.9591845,75310.9649614
55,75310.970739,75310.9765159,75310.9822978
56,75310.9880753,75310.9938523,75310.9996292
57,75311.0054117,75311.0111886,75311.0169655
58,75311.0227431,75311.0285201,75311.0343019
59,75311.0400788,75311.0458558,75311.0516327
60,75311.0574152,75311.0631921,75311.068969
61,75311.0747466,75311.0805235,75311.0863054
62,75311.0920829,75311.0978599,75311.1036368
63,75311.1094193,75311.1151962,75311.1209731
64,75311.1267507,75311.1325319,75311.1383088
65,75311.1440858,75311.1498633,75311.1556403
66,75311.1614227,75311.1671997,75311.1729766
67,75311.1787536,75311.2192038,75311.2249801
68,75311.230757,75311.2365395,75311.2423164
69,75311.2480934,75311.2538709,75311.2596479
70,75311.2654297,75311.2712073,75311.2769842
71,75311.2827611,75311.2885436,75311.2943205
72,75311.3000975,75311.305875,75311.3116569
73,75311.3174332,75311.3232107,75311.3289877
74,75311.3347646,75311.3405471,75311.346324
75,75311.352101,75311.3578785,75311.3636603
76,75311.3694373,75311.3752148,75311.3809918
77,75311.3867687,75311.3925512,75311.3983281
78,75311.4041051,75311.409882,75311.4156638
79,75311.4214408,75311.4272183,75311.4329953
80,75311.4387722,75311.444554,75311.4503316
81,75311.4561085,75311.4618861,75311.4676679
82,75311.4734449,75311.4792218,75311.4849994
83,75311.4907812,75311.4965581,75311.5023351
84,75311.508112,75311.513889,75311.5196714
85,75311.5254483,75311.5312253,75311.5370029
86,75311.5427847,75311.5485616,75311.5543392
87,75311.5601161,75311.5658931,75311.5716755
88,75311.5774525,75311.5832294,75311.589007
89,75311.5947882,75311.6005651,75311.6063427
90,75311.6121196,75311.6178965,75311.623679
91,75311.6294559,75311.6352329,75311.6410104
92,75311.6467923,75311.6525692,75311.6583468
93,75311.6641237,75311.6699006,75311.6756831
94,75311.68146,75311.6872364,75311.6930139
95,75311.6987957,75311.7045727,75311.7103502
96,75311.7161272,75311.721909,75311.7276866
97,75311.7334635,75311.7392405,75311.745018
98,75311.7507998,75311.7565768,75311.7623544
99,75311.7681313,75311.7739131,75311.7796901
100,75311.785467,75311.7912439,75311.7970209
101,75311.8028033,75311.8085803,75311.8143572
102,75311.8201348,75311.8259166,75311.8316942
103,75311.8374711,75311.843248,75311.849025
104,75311.8548074,75311.8605844,75311.8663613
105,75311.8721383,75311.8779201,75311.883697
106,75311.8894746,75311.8952515,75311.9010333
107,75311.9068109,75311.9125879,75311.9183648
108,75311.9241424,75311.9299242,75311.9357011
109,75311.9414787,75311.9472556,75311.9530375
110,75311.958815,75311.9645913,75311.9703683
111,75311.9761458,75311.9819277,75311.9877046
112,75311.9934822,75311.9992591,75312.0050409
113,75312.0108185,75312.0165954,75312.0223724
114,75312.0281499,75312.0339318,75312.0512632
115,75312.0570444,75312.062822,75312.0685989
116,75312.0743759,75312.0801583,75312.0859352
117,75312.0917122,75312.0974898,75312.1032667
118,75312.1090485,75312.1148261,75312.120603
119,75312.12638,75312.1321624,75312.1379394
120,75312.1437163,75312.1494932,75312.1552702
121,75312.161052,75312.1668289,75312.1726065
122,75312.1783834,75312.1841653,75312.1899428
123,75312.1957198,75312.2014967,75312.2072743
124,75312.2130561,75312.218833,75312.2246106
125,75312.2303875,75312.2361694,75312.2419463
126,75312.2477233,75312.2535002,75312.2592826
127,75312.2650596,75312.2708365,75312.2766141
128,75312.282391,75312.2881729,75312.2939504
129,75312.2997274,75312.3055043,75312.3112867
130,75312.3170637,75312.3228406,75312.3286182
131,75312.3343945,75312.3401763,75312.3459539
132,75312.3517308,75312.3575078,75312.3632902
133,75312.3690672,75312.3748441,75312.3806217
134,75312.3863986,75312.3921804,75312.397958
135,75312.4037349,75312.4095119,75312.4152943
136,75312.4210713,75312.4268476,75312.4326252
137,75312.438407,75312.4441839,75312.4499609
138,75312.4557384,75312.4615154,75312.4672978
139,75312.4730748,75312.4788517,75312.4846286
140,75312.4904111,75312.496188,75312.5019656
141,75312.5077425,75312.5135195,75312.5193007
142,75312.5250782,75312.5308552,75312.5366321
143,75312.5424146,75312.5481915,75312.5539684
144,75312.559746,75312.5655229,75312.5713048
145,75312.5770823,75312.5828593,75312.5886362
146,75312.5944187,75312.6001956,75312.6059725
147,75312.6117495,75312.6175313,75312.6233083
148,75312.6290858,75312.6348628,75312.6406397
149,75312.6464221,75312.6521991,75312.657976
150,75312.6637536,75312.6695354,75312.6753124
151,75312.6810899,75312.6868669,75312.6926438
152,75312.6984263,75312.7042026,75312.7099795
153,75312.7157571,75312.7215389,75312.7273158
