,Time,Hor_eye,Ver_eye
0,74814.0,74814.005777,74814.0231084
1,74814.0288909,74814.0346678,74814.0404447
2,74814.0462223,74814.0520041,74814.0577811
3,74814.0635586,74814.0693356,74814.0751125
4,74814.0808943,74814.0866713,74814.0924482
5,74814.0982258,74814.1040076,74814.1097846
6,74814.1155621,74814.1213391,74814.1271209
7,74814.1328985,74814.1386754,74814.1444523
8,74814.1502299,74814.1560117,74814.1617887
9,74814.1675662,74814.1733425,74814.1791244
10,74814.1849019,74814.1906789,74814.1964558
11,74814.2022334,74814.2080152,74814.2137921
12,74814.2195697,74814.2253466,74814.2311285
13,74814.236906,74814.242683,74814.2484599
14,74814.2542375,74814.2600193,74814.2657956
15,74814.2715732,74814.2773501,74814.2831326
16,74814.2889095,74814.2946865,74814.3004634
17,74814.3062458,74814.3120228,74814.3177997
18,74814.3235773,74814.3293542,74814.3351361
19,74814.3409136,74814.3466906,74814.3524675
20,74814.3582493,74814.3640263,74814.3698032
21,74814.3755808,74814.3813577,74814.3871402
22,74814.3929171,74814.398694,74814.404471
23,74814.4102534,74814.4160304,74814.4218073
24,74814.4275849,74814.4333618,74814.4391436
25,74814.4449212,74814.4506975,74814.4564745
26,74814.4622569,74814.4680339,74814.4738108
27,74814.4795884,74814.4853702,74814.4911471
28,74814.4969247,74814.5027016,74814.5084786
29,74814.514261,74814.520038,74814.5258149
30,74814.5315925,74814.5373743,74814.5431506
31,74814.5489282,74814.5547051,74814.560482
32,74814.5662645,74814.5720414,74814.5778184
33,74814.5835959,74814.5893778,74814.5951547
34,74814.6009323,74814.6067092,74814.6124862
35,74814.6182686,74814.6240455,74814.6298225
36,74814.6355994,74814.6413812,74814.6471582
37,74814.6529358,74814.6587127,74814.6644896
38,74814.6702721,74814.676049,74814.681826
39,74814.6876035,74814.6933854,74814.6991623
40,74814.7049399,74814.7107168,74814.7164986
41,74814.7222762,74814.7280525,74814.7338294
42,74814.739607,74814.7453888,74814.7511658
43,74814.7569433,74814.7627203,74814.7685021
44,74814.7742797,74814.7800566,74814.7858335
45,74814.7916111,74814.7973929,74814.8031699
46,74814.8089474,74814.8147244,74814.8205056
47,74814.8262831,74814.8320601,74814.837837
48,74814.8436146,74814.8493964,74814.8551734
49,74814.8609509,74814.8667279,74814.8725097
50,74814.8782873,74814.8840642,74814.8898411
51,74814.8956236,74814.9014005,74814.9071775
52,74814.9129544,74814.9187313,74814.9245132
53,74814.9302907,74814.9360677,74814.9418446
54,74814.9476271,74814.953404,74814.9591809
55,74814.9649585,74814.9707354,74814.9765173
56,74814.9822948,74814.9880718,74814.9938487
57,74814.9996312,74815.0054075,74815.0111844
58,74815.016962,74815.0227389,74815.0285208
59,74815.0342983,74815.0400753,74815.0458522
60,74815.0516347,74815.0574116,74815.0631885
61,74815.0689661,74815.0747479,74815.0805249
62,74815.0863024,74815.0920794,74815.0978557
63,74815.1036381,74815.1094151,74815.115192
64,74815.1209696,74815.1267514,74815.1325283
65,74815.1383059,74815.1440828,74815.1498598
66,74815.1556422,74815.1614192,74815.1671961
67,74815.1729737,74815.1787555,74815.1845324
68,74815.1903094,74815.1960863,74815.2018633
69,74815.2076457,74815.2134227,74815.2191996
70,74815.2249772,74815.230759,74815.2365359
71,74815.2423135,74815.2480904,74815.2538723
72,74815.2596498,74815.2654268,74815.2712037
