,Time,Hor_eye,Ver_eye
0,75422.0,75422.0057818,75422.0115594
1,75422.0173363,75422.0231133,75422.0288908
2,75422.0346727,75422.0404496,75422.0462272
3,75422.0520041,75422.0577859,75422.0635635
4,75422.0693404,75422.0751174,75422.0808998
5,75422.0866768,75422.0924531,75422.0982306
6,75422.1040076,75422.1097894,75422.115567
7,75422.1213439,75422.1271209,75422.1329033
8,75422.1386802,75422.1444572,75422.1502347
9,75422.1560117,75422.1617935,75422.1675711
10,75422.173348,75422.179125,75422.1849068
11,75422.1906837,75422.1964607,75422.2022382
12,75422.2080152,75422.213797,75422.2195746
13,75422.2253515,75422.2311284,75422.2369109
14,75422.2426878,75422.2484648,75422.2542423
15,75422.2600242,75422.2658011,75422.2715787
16,75422.277355,75422.2831319,75422.2889144
17,75422.2946913,75422.3004682,75422.3062458
18,75422.3120276,75422.3178046,75422.3235821
19,75422.3293591,75422.335136,75422.3409185
20,75422.3466954,75422.352473,75422.3582499
21,75422.3640317,75422.3698081,75422.3755856
22,75422.3813626,75422.3871395,75422.392922
23,75422.3986989,75422.4044758,75422.4102534
24,75422.4160352,75422.4218128,75422.4275897
25,75422.4333667,75422.4391436,75422.4449261
26,75422.450703,75422.4564806,75422.4622569
27,75422.4680387,75422.4738156,75422.4795932
28,75422.4853701,75422.4911526,75422.4969295
29,75422.5027065,75422.508484,75422.514261
30,75422.5200428,75422.5258204,75422.5315973
31,75422.5373743,75422.5431567,75422.5489336
32,75422.55471,75422.5604875,75422.5662645
33,75422.5720463,75422.5778232,75422.5836008
34,75422.5893777,75422.5951602,75422.6009371
35,75422.6067141,75422.6124916,75422.6182686
36,75422.6240504,75422.629828,75422.6356049
37,75422.6413818,75422.6471637,75422.6529406
38,75422.6587175,75422.6644951,75422.6702769
39,75422.6760539,75422.6818314,75422.6876084
40,75422.6933853,75422.6991678,75422.7049447
41,75422.7107216,75422.7164992,75422.722281
42,75422.728058,75422.7338355,75422.7396119
43,75422.7453888,75422.7511712,75422.7569482
44,75422.7627251,75422.7685027,75422.7742845
45,75422.7800615,75422.785839,75422.791616
46,75422.7973929,75422.8031754,75422.8089523
47,75422.8147292,75422.8205068,75422.8262886
48,75422.8320649,75422.8378425,75422.8436194
49,75422.8494013,75422.8551788,75422.8609558
50,75422.8667327,75422.8725103,75422.8782921
51,75422.884069,75422.8898466,75422.8956235
52,75422.9014054,75422.9071829,75422.9129599
53,75422.9187368,75422.9245138,75422.9302956
54,75422.9360725,75422.9418501,75422.947627
55,75422.9534089,75422.9591864,75422.9649634
56,75422.9707403,75422.9765179,75422.9822997
57,75422.9880766,75422.9938542,75422.9996311
58,75423.005413,75423.0111905,75423.0169668
59,75423.0227438,75423.0285262,75423.0343032
60,75423.0400801,75423.0458577,75423.0516346
61,75423.0574171,75423.063194,75423.0689709
62,75423.0747479,75423.0805303,75423.0863073
63,75423.0920842,75423.0978618,75423.1036387
64,75423.1094199,75423.1151975,75423.1209744
65,75423.1267514,75423.1325338,75423.1383108
66,75423.1440877,75423.1498653,75423.1556422
67,75423.161424,75423.1672016,75423.1729785
68,75423.1787555,75423.1845379,75423.1903149
69,75423.1960924,75423.2018687,75423.2076506
70,75423.2134281,75423.2192051,75423.224982
71,75423.2307589,75423.2365414,75423.2423183
72,75423.2480959,75423.2538728,75423.2596547
73,75423.2654322,75423.2712092,75423.2769861
74,75423.2827631,75423.2885455,75423.2943218
75,75423.3000994,75423.3058763,75423.3116582
76,75423.3174357,75423.3232127,75423.3289896
77,75423.3347672,75423.340549,75423.3463259
78,75423.3521035,75423.3578804,75423.3636623
79,75423.3694398,75423.3752168,75423.3809937
80,75423.3867755,75423.3925525,75423.3983294
81,75423.404107,75423.4098839,75423.4156657
82,75423.4214433,75423.4272202,75423.4329972
83,75423.4387796,75423.4445566,75423.4503335
84,75423.4561111,75423.461888,75423.4676698
85,75423.4734474,75423.4792237,75423.4850007
86,75423.4907831,75423.4965601,75423.502337
87,75423.5081146,75423.5138915,75423.5196733
88,75423.5254509,75423.5312278,75423.5370048
89,75423.5427872,75423.5485642,75423.5543411
90,75423.5601187,75423.5659005,75423.5716768
91,75423.5774544,75423.5832313,75423.5890082
92,75423.5947907,75423.6005676,75423.6063446
93,75423.6121221,75423.617904,75423.6236809
94,75423.6294585,75423.6352354,75423.6410124
95,75423.6467948,75423.6525717,75423.6583487
96,75423.6641256,75423.6699074,75423.6756844
97,75423.681462,75423.6872389,75423.6930158
98,75423.6987983,75423.7045752,75423.7103522
99,75423.7161297,75423.7219116,75423.7276885
100,75423.7334661,75423.739243,75423.7450248
101,75423.7508024,75423.7565787,75423.7623563
102,75423.7681332,75423.773915,75423.779692
103,75423.7854695,75423.7912465,75423.7970289
104,75423.8028059,75423.8085828,75423.8143604
105,75423.8201373,75423.8259191,75423.8316967
106,75423.8374736,75423.8432506,75423.8490318
107,75423.8548093,75423.8605863,75423.8663639
108,75423.8721408,75423.8779226,75423.8836996
109,75423.8894771,75423.8952541,75423.9010365
110,75423.9068135,75423.9125904,75423.9183673
111,75423.9241498,75423.9299267,75423.9357043
112,75423.9414806,75423.9472575,75423.9530394
113,75423.9588169,75423.9645939,75423.9703714
114,75423.9761533,75423.9819302,75423.9877078
115,75423.9934847,75423.9992616,75424.0050441
116,75424.010821,75424.016598,75424.0223755
117,75424.0281574,75424.0339337,75424.0397112
118,75424.0454882,75424.0512651,75424.0570476
119,75424.0628245,75424.0686015,75424.074379
120,75424.0801608,75424.0859378,75424.0917154
121,75424.0974923,75424.1032741,75424.1090517
122,75424.1148286,75424.1206056,75424.1263825
123,75424.1321643,75424.1379413,75424.1437188
124,75424.1494958,75424.1552776,75424.1610552
125,75424.1668321,75424.172609,75424.1899454
126,75424.1957229,75424.2014999,75424.2072817
127,75424.2130593,75424.2188356,75424.2246125
128,75424.2303901,75424.2361719,75424.2419489
129,75424.2477264,75424.2535034,75424.2592852
130,75424.2650627,75424.2708397,75424.2766166
131,75424.2823991,75424.288176,75424.293953
132,75424.2997305,75424.3055075,75424.3112887
133,75424.3170662,75424.3228432,75424.3286201
134,75424.3344026,75424.3401795,75424.3459564
135,75424.351734,75424.3575109,75424.3632928
136,75424.3690703,75424.3748473,75424.3806242
137,75424.3864067,75424.3921836,75424.3979605
138,75424.4037375,75424.4095144,75424.4152962
139,75424.4210738,75424.4268508,75424.4326277
140,75424.4384101,75424.4441871,75424.449964
141,75424.4557416,75424.4615185,75424.4673004
142,75424.4730779,75424.4788549,75424.4846318
143,75424.4904143,75424.4961906,75424.5019675
144,75424.5077451,75424.5135269,75424.5193038
145,75424.5250814,75424.5308583,75424.5366359
146,75424.5424177,75424.5481947,75424.5539716
147,75424.5597492,75424.565531,75424.5713086
148,75424.5770855,75424.5828624,75424.5886394
149,75424.5944212,75424.6001981,75424.6059757
150,75424.6117527,75424.6175345,75424.623312
151,75424.629089,75424.6348659,75424.6406435
152,75424.6464253,75424.6522023,75424.6579792
153,75424.6637568,75424.6695386,75424.6753162
154,75424.6810925,75424.6868694,75424.6926512
155,75424.6984288,75424.7042057,75424.7099833
156,75424.7157602,75424.7215421,75424.7273196
157,75424.7330966,75424.7388735,75424.744656
158,75424.7504329,75424.7562098,75424.7619874
159,75424.7677643,75424.7735455,75424.7793231
160,75424.7851,75424.790877,75424.7966594
161,75424.8024364,75424.8082133,75424.8139909
162,75424.8197678,75424.8255497,75424.8313272
163,75424.8371042,75424.8428811,75424.8486635
164,75424.8544405,75424.8602174,75424.8659944
165,75424.8717762,75424.8775531,75424.8833307
166,75424.8891076,75424.8948846,75424.900667
167,75424.906444,75424.9122209,75424.9179985
168,75424.9237803,75424.9295572,75424.9353348
169,75424.9411117,75424.9468887,75424.9526711
170,75424.9584474,75424.9642244,75424.9700019
171,75424.9757838,75424.9815607,75424.9873383
172,75424.9931152,75424.9988922,75425.0046746
173,75425.0104516,75425.0162285,75425.0220061
174,75425.0277879,75425.0335648,75425.0393424
175,75425.0451193,75425.0509005,75425.0566781
176,75425.062455,75425.068232,75425.0740095
177,75425.0797914,75425.0855683,75425.0913459
178,75425.0971228,75425.1029046,75425.1086822
179,75425.1144591,75425.1202361,75425.1260136
180,75425.1317955,75425.1375724,75425.1433493
181,75425.1491263,75425.1549081,75425.1606857
182,75425.1664626,75425.1722396,75425.1780171
183,75425.1837989,75425.1895759,75425.1953535
184,75425.2011304,75425.2069122,75425.2126898
185,75425.2184667,75425.2242437,75425.2300261
186,75425.2358024,75425.2415794,75425.2473569
187,75425.2531339,75425.2589157,75425.2646933
188,75425.2704702,75425.2762471,75425.2820296
189,75425.2878065,75425.2935835,75425.299361
190,75425.305138,75425.3109198,75425.3166974
191,75425.3224743,75425.3282506,75425.3340331
192,75425.33981,75425.3455876,75425.3513645
193,75425.3571415,75425.3629233,75425.3687008
194,75425.3744778,75425.3802554,75425.3860372
195,75425.3918141,75425.3975917,75425.4033686
196,75425.4091504,75425.414928,75425.4207043
197,75425.4264813,75425.4322582,75425.4380407
198,75425.4438176,75425.4495952,75425.4553721
199,75425.4611539,75425.4669315,75425.4727084
200,75425.4784854,75425.4842629,75425.4900448
201,75425.4958217,75425.5015993,75425.5073762
202,75425.5131574,75425.518935,75425.5247119
