,Time,Hor_eye,Ver_eye
0,71813.0,71813.0057818,71813.0115593
1,71813.0173363,71813.0231132,71813.0288908
2,71813.0346726,71813.0404496,71813.0462271
3,71813.0520041,71813.0577859,71813.0751173
4,71813.0808949,71813.0866761,71813.092453
5,71813.0982306,71813.1040075,71813.1097894
6,71813.1155669,71813.1213439,71813.1271208
7,71813.1329033,71813.1386802,71813.1444571
8,71813.1502347,71813.1560116,71813.1617935
9,71813.167571,71813.173348,71813.1791243
10,71813.1849067,71813.1906837,71813.1964612
11,71813.2022382,71813.2080151,71813.213797
12,71813.2195745,71813.2253515,71813.231129
13,71813.2369108,71813.2426878,71813.2484647
14,71813.2542423,71813.2600192,71813.2658017
15,71813.271578,71813.2773549,71813.2831319
16,71813.2889143,71813.2946913,71813.3004688
17,71813.3062458,71813.3120227,71813.3178045
18,71813.3235821,71813.329359,71813.3351366
19,71813.3409184,71813.3466954,71813.3524729
20,71813.3582499,71813.3640311,71813.3698086
21,71813.3755856,71813.3813625,71813.3871395
22,71813.3929219,71813.3986989,71813.4044764
23,71813.4102534,71813.4160352,71813.4218127
24,71813.4275897,71813.4333666,71813.4391442
25,71813.444926,71813.450703,71813.4564799
26,71813.4622568,71813.4680387,71813.4738162
27,71813.4795932,71813.4853701,71813.4911477
28,71813.4969295,71813.5027064,71813.508484
29,71813.5142609,71813.5200428,71813.5258203
30,71813.5315973,71813.5373742,71813.5431567
31,71813.548933,71813.5547099,71813.5604875
32,71813.5662644,71813.5720462,71813.5778238
33,71813.5836008,71813.5893777,71813.5951601
34,71813.6009371,71813.606714,71813.6124916
35,71813.6182685,71813.6240504,71813.6298279
36,71813.6356049,71813.6413812,71813.6471636
37,71813.6529406,71813.6587175,71813.6644951
38,71813.670272,71813.6760538,71813.6818314
39,71813.6876083,71813.6933853,71813.6991677
40,71813.7049447,71813.7107216,71813.7164992
41,71813.722281,71813.7280579,71813.7338349
42,71813.7396118,71813.7453888,71813.7511712
43,71813.7569481,71813.7627251,71813.7685027
44,71813.7742845,71813.7800614,71813.785839
45,71813.7916159,71813.7973929,71813.8031753
46,71813.8089523,71813.8147298,71813.8205068
47,71813.826288,71813.8320655,71813.8378425
48,71813.8436194,71813.8493963,71813.8551788
49,71813.8609557,71813.8667333,71813.8725102
50,71813.8782921,71813.8840696,71813.8898466
51,71813.8956235,71813.901406,71813.9071829
52,71813.9129598,71813.9187362,71813.9245137
53,71813.9302955,71813.9360731,71813.94185
54,71813.947627,71813.9534094,71813.9591864
55,71813.9649633,71813.9707409,71813.9765178
56,71813.9822997,71813.9880766,71813.9938542
57,71813.9996311,71814.0054135,71814.0111899
58,71814.0169668,71814.0227444,71814.0285213
59,71814.0343031,71814.0400807,71814.0458576
60,71814.0516346,71814.057417,71814.063194
