,Time,Hor_eye,Ver_eye
0,73702.0,73702.0057769,73702.0115539
1,73702.0173308,73702.0231133,73702.0288902
2,73702.0346671,73702.0520035,73702.057781
3,73702.063558,73702.1444523,73702.1733474
4,73702.179125,73702.1849019,73702.1906782
5,73702.1964558,73702.2022376,73702.2080145
6,73702.2137921,73702.219569,73702.2253509
7,73702.2311284,73702.2369054,73702.2426823
8,73702.2831319,73702.2889089,73702.2946858
9,73702.3004682,73702.3062452,73702.3120221
10,73702.3177997,73702.3235766,73702.3293585
11,73702.335136,73702.340913,73702.3466899
12,73702.3524724,73702.3871395,73702.3986934
13,73702.4102528,73702.4160297,73702.4275891
14,73702.433366,73702.4449205,73702.4506975
15,73702.4738108,73702.4795926,73702.496924
16,73702.502701,73702.5084828,73702.5315967
17,73702.5373736,73702.5431506,73702.5489281
18,73702.5547051,73702.5604863,73702.5778177
19,73702.5836002,73702.5893771,73702.595154
20,73702.6009316,73702.6067085,73702.6124904
21,73702.6182679,73702.6240449,73702.6298218
22,73702.6356043,73702.6413812,73702.6529351
23,73702.6702714,73702.6760484,73702.710721
24,73702.7453882,73702.7627245,73702.7685014
25,73702.774279,73702.7800559,73702.7858329
26,73702.7916153,73702.7973923,73702.8031692
27,73702.8089468,73702.8147286,73702.8205055
28,73702.8262831,73702.8320601,73702.8378413
29,73702.8436188,73702.8493958,73702.8551727
30,73702.8609503,73702.8667321,73702.872509
31,73702.8782866,73702.8840635,73702.8898454
32,73702.8956229,73702.9013999,73702.9071768
33,73702.9129544,73702.9187362,73702.9245131
34,73702.9476264,73702.9534033,73702.9591803
35,73702.9649572,73702.9707397,73702.9765166
36,73702.9822936,73702.9880711,73702.9938529
37,73702.9996299,73703.0111844,73703.0169662
38,73703.0227432,73703.0285201,73703.034297
39,73703.0400746,73703.0458564,73703.051634
40,73703.0574109,73703.0689697,73703.0747473
41,73703.0805242,73703.0863011,73703.0920787
42,73703.0978605,73703.1036375,73703.109415
43,73703.1151913,73703.1209732,73703.1267507
44,73703.1325277,73703.1383046,73703.1440822
45,73703.149864,73703.1556409,73703.1614185
46,73703.1903087,73703.2018681,73703.2076444
47,73703.213422,73703.2191989,73703.2249808
48,73703.2307583,73703.2365353,73703.2423122
49,73703.2480947,73703.2538716,73703.2596485
50,73703.2654261,73703.271203,73703.2769849
51,73703.2827624,73703.2885394,73703.2943163
52,73703.3000981,73703.3058751,73703.311652
53,73703.3174296,73703.3232065,73703.3289883
54,73703.3347659,73703.3405428,73703.3463198
55,73703.3521022,73703.3578792,73703.3636561
56,73703.3694337,73703.3752155,73703.3809924
57,73703.38677,73703.3925463,73703.3983233
58,73703.4041057,73703.4098827,73703.4156596
59,73703.4214372,73703.427219,73703.4329959
60,73703.4387735,73703.4445504,73703.4503274
61,73703.4561098,73703.4618868,73703.4676637
62,73703.4734406,73703.4792231,73703.4849994
63,73703.490777,73703.4965539,73703.5023309
64,73703.5081127,73703.5138902,73703.5196672
65,73703.5254441,73703.5312266,73703.5370035
66,73703.5427805,73703.548558,73703.5543398
67,73703.5601168,73703.5658943,73703.5716713
68,73703.5774476,73703.5832301,73703.589007
69,73703.5947839,73703.6005615,73703.6063433
70,73703.6178978,73703.6236748,73703.6294517
71,73703.6352342,73703.6410111,73703.646788
72,73703.6525656,73703.6583474,73703.6641244
73,73703.6814552,73703.6872376,73703.6930146
74,73703.6987915,73703.7045691,73703.7161278
75,73703.7219054,73703.7276824,73703.7334642
76,73703.7392417,73703.7450187,73703.7507956
77,73703.7565732,73703.7623544,73703.7681313
78,73703.7739089,73703.7796858,73703.7854677
79,73703.7912452,73703.7970222,73703.8085767
80,73703.825913,73703.8316899,73703.8374718
81,73703.8432493,73703.8490263,73703.8548026
82,73703.8605801,73703.866362,73703.8721389
83,73703.8779165,73703.8836934,73703.8894752
84,73703.8952528,73703.9010297,73703.9068067
85,73703.9125891,73703.9183661,73703.924143
86,73703.9299206,73703.9356975,73703.9414794
87,73703.9472563,73703.9530332,73703.9588102
88,73703.9645926,73703.9703696,73703.9761465
